name,website,twitter,github,category,tvl_usd
Gauntlet,https://www.gauntlet.xyz,gauntlet_xyz,,DeFi,2353730000.00
Portal,https://portalbridge.com,portalbridge_,"{""wormhole-foundation""}",Bridge,2266390000.00
Curve DEX,https://curve.finance,CurveFinance,,DEX,2264720000.00
Bitstamp,https://www.bitstamp.net,Bitstamp,,DeFi,2242630000.00
Polygon Bridge & Staking,https://polygon.technology/,0xPolygon,,DeFi,2207270000.00
Fluid Lending,https://fluid.instadapp.io,0xfluid,,Lending,2158910000.00
PancakeSwap AMM,https://pancakeswap.finance/,PancakeSwap,,DEX,2119600000.00
Tether Gold,https://gold.tether.to/,tethergold,,DeFi,2096160000.00
Compound V3,https://v3-app.compound.finance/,compoundfinance,,Lending,2084800000.00
Raydium AMM,https://raydium.io,RaydiumProtocol,,DEX,2072370000.00
Venus Core Pool,https://app.venus.io/#/core-pool,VenusProtocol,,Lending,2032530000.00
Falcon Finance,https://falcon.finance/,falconstable,,DeFi,2010880000.00
Sanctum Validator LSTs,https://www.sanctum.so,sanctumso,,DeFi,1945790000.00
Ethena USDtb,https://usdtb.money,ethena_labs,,DeFi,1831940000.00
Jupiter Perpetual Exchange,https://jup.ag/perps,JupiterExchange,,DeFi,1822840000.00
HashKey Exchange,https://www.hashkey.com,HashKeyExchange,,DeFi,1796130000.00
Jupiter Staked SOL,https://jup.ag/swap/SOL-JupSOL,JupiterExchange,,DeFi,1741090000.00
Uniswap V2,https://uniswap.org/,Uniswap,,DEX,1733800000.00
SwissBorg,https://swissborg.com,swissborg,,DeFi,1692340000.00
Binance Staked SOL,https://www.binance.com/en/solana-staking,binance,,DeFi,1657810000.00
Euler V2,https://www.euler.finance,eulerfinance,,Lending,1634490000.00
Kinetiq kHYPE,https://kinetiq.xyz/stake,kinetiq_xyz,,DeFi,1601210000.00
Steakhouse Financial,https://www.steakhouse.financial/,SteakhouseFi,,DeFi,1549590000.00
Kelp,https://kelpdao.xyz/restake,KelpDAO,,DeFi,1474620000.00
MEV Capital,https://mevcapital.com,MEVCapital,,DeFi,1470610000.00
Spark Savings,https://data.spark.fi/savings/,sparkdotfi,,Yield,1465360000.00
Ondo Yield Assets,https://ondo.finance,OndoFinance,,DeFi,1460230000.00
Linea Bridge,https://bridge.linea.build,LineaBuild,,Bridge,1438070000.00
Lista Liquid Staking,https://www.synclub.io/,LISTA_DAO,,DeFi,1410210000.00
Liquid Collective,https://liquidcollective.io,liquid_col,,DeFi,1403650000.00
Lombard,https://www.lombard.finance,Lombard_Finance,,DeFi,1374820000.00
Centrifuge Protocol,https://centrifuge.io,centrifuge,,DeFi,1374700000.00
DeSyn Liquid Strategy,https://www.desyn.io,DesynLab,,Yield,1344990000.00
StakeWise V2,https://stakewise.io/,stakewise_io,,DeFi,1339370000.00
Paxos Gold,https://paxos.com/paxgold/,Paxos,,DeFi,1338700000.00
Function FBTC,https://www.fxn.xyz,FunctionBTC,"{""fbtc-xyz""}",Bridge,1313280000.00
Renzo,https://app.renzoprotocol.com/restake,RenzoProtocol,"{""Renzo-Protocol""}",DeFi,1276740000.00
Lighter Bridge,https://app.lighter.xyz/trade/ETH?referral=FHT1N8AYKHP4,Lighter_xyz,,Bridge,1152470000.00
SolvBTC,https://app.solv.finance/solvbtc,SolvProtocol,,Bridge,1104780000.00
Bitkub,https://www.bitkub.com/,BitkubOfficial,,DeFi,1071020000.00
Korbit,https://korbit.co.kr,Korbit_exchange,,DeFi,1070940000.00
Symbiotic,https://symbiotic.fi,symbioticfi,"{""symbioticfi""}",DeFi,1054860000.00
Lista Lending,https://lista.org/lending,LISTA_DAO,,Lending,1051920000.00
ether.fi Liquid,https://app.ether.fi/liquid,ether_fi,,DeFi,994049000.00
Convex Finance,https://www.convexfinance.com/,ConvexFinance,"{""convex-eth""}",Yield,985204000.00
Drift Trade,https://app.drift.trade/ref/defillama,DriftProtocol,,DeFi,965721000.00
mETH Protocol,https://www.methprotocol.xyz/,mETHProtocol,,DeFi,956022000.00
Lista CDP,https://lista.org/,LISTA_DAO,,DeFi,955882000.00
Circle USYC,https://www.circle.com/usyc,circle,,DeFi,948234000.00
Concrete,https://app.concrete.xyz,ConcreteXYZ,,DeFi,947760000.00
Midas RWA,https://midas.app,MidasRWA,,DeFi,897761000.00
Aster Bridge,https://www.asterdex.com/en/referral/c6eF10,Aster_DEX,,Bridge,891453000.00
Jupiter Lend,https://jup.ag/lend,JupiterExchange,,Lending,877446000.00
Optimism Bridge,https://app.optimism.io/bridge/deposit,optimismFND,,Bridge,861730000.00
Unit,https://hyperunit.xyz/deposit,hyperunit,,Bridge,858650000.00
Uniswap V4,https://uniswap.org/,Uniswap,,DEX,847953000.00
Marinade Native,https://marinade.finance/app/,MarinadeFinance,,DeFi,844368000.00
M0,https://www.m0.org/,m0foundation,,DeFi,833847000.00
K3 Capital,https://k3.capital,k3_capital,,DeFi,808567000.00
BingX,https://bingx.com,BingXOfficial,,DeFi,800365000.00
Avalanche Core Bridge,https://core.app/bridge/,coreapp,,Bridge,794704000.00
Marinade Liquid Staking,https://marinade.finance,MarinadeFinance,,DeFi,788696000.00
Mantle Bridge,https://bridge.mantle.xyz,Mantle_Official,,Bridge,750505000.00
